indx,tag,speaker,line,label,desc,bin_label
0,TRAIN_0_0,Maid,Immigration? ,,,0
1,TRAIN_0_1,Revenue agent, Revenue.,,,0
2,TRAIN_0_2,Maid, Missus Rose! There are people here from the government!,,,0
3,TRAIN_0_3,Moira," I've been gutted! John, I've been stripped of every morsel of pleasure I earned in this life!",,,0
4,TRAIN_1_4,Johnny," Well, how do you think I feel, Moira?! ",RHETORICAL, Johnny is upset.,1
5,TRAIN_0_5,Johnny," Eli was family, for God's sake! Leave your finances to me, he said! Son of a bitch!",,,0
6,TRAIN_0_6,Alexis," Baby, it's crazy, people are just like, taking our stuff! I said, they're taking our stuff! Can you just step out of the club for a second, ple... Hold on, hold on! Those bags are not for you, my boyfriend bought those for me, so, theoretically, they are his! ",,,0
7,TRAIN_0_7,Revenue agent 1," Please sir, can you step aside? ",,,0
8,TRAIN_0_8,David," No, you step aside! You step aside! I'm still trying to wrap my mind around what kind of a sick person wants to get paid to destroy another person's life! Destroy another person's life! Where are you taking that?!",,,0
9,TRAIN_0_9,Moira," My very soul has been kidnapped, there's no ransom, no one's coming to save me!",,,0
10,TRAIN_0_10,Johnny," We've got 15 minutes to collect our personals, can we pick up the pace?!",,,0
11,TRAIN_0_11,Moira," No, no! Did you put Kristen with Robin? They don't like each other! Nooooo! Nooooo! ",,,0
12,TRAIN_0_12,Lawyer," Eli really did a number, Johnny. He took everything. They're still looking for him, they think he's in the Caymans.",,,0
13,TRAIN_0_13,Johnny," He was our business manager, he's supposed to pay taxes!",,,0
14,TRAIN_0_14,Lawyer," Hmm. There is a very small amount set aside for you, and one asset the government has allowed you to retain.",,,0
15,TRAIN_0_15,Moira, The kids.,,,0
16,TRAIN_0_16,Lawyer," The children are dependents, Moira. You bought a small town in 1991, Johnny.",,,0
17,TRAIN_0_17,Johnny," Yes, I bought that as a joke for my son.",,,0
18,TRAIN_0_18,David," Wait, you actually purchased that town?",,,0
19,TRAIN_1_19,Johnny," Yes, I purchased the town, how else could I get the deed? ",RHETORICAL, Johnny could only get the deed by buying the town.,1
20,TRAIN_0_20,Alexis, You could've photo shopped the deed!,,,0
21,TRAIN_0_21,David, And saved the money!,,,0
22,TRAIN_0_22,Johnny," Why would I Photoshop a deed, the joke was owning the town!",,,0
23,TRAIN_0_23,Moira," Okay, stop.",,,0
24,TRAIN_0_24,Johnny, That was the joke!,,,0
25,TRAIN_0_25,David, Oh my God!,,,0
26,TRAIN_0_26,Johnny," Well, that was the joke!",,,0
27,TRAIN_0_27,Lawyer," To Johnny's credit... This town just might be your saving grace, at least for a while. ",,,0
28,TRAIN_0_28,Moira, What do you mean? ,,,0
29,TRAIN_0_29,Lawyer," You can live there for next to nothing, until you get back on your feet. ",,,0
30,TRAIN_0_30,Moira," I'm sure there's a penthouse we can move into, please, there are other options. ",,,0
31,TRAIN_0_31,Lawyer," Well, homelessness is still on the table. ",,,0
32,TRAIN_0_32,Alexis," The whole time I was surrounded by old women wearing visors, who smelled like yams! There was nowhere to lie down! There was nowhere to lie down, there was no bed! There was no kitchen. I know! No. I don't know what to tell you, there's like, cows all over the place, like, everywhere. I don't know if there's even a station, I don't know what's happening! ",,,0
33,TRAIN_0_33,Roland,  Johnny Rose! Roland Schitt. ,,,0
34,TRAIN_0_34,Johnny," Oh, you're the mayor we're supposed to meet. ",,,0
35,TRAIN_0_35,Roland," That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!  ",,,0
36,TRAIN_0_36,Johnny," Oh, this is my family, my son... ",,,0
37,TRAIN_0_37,Roland," Let's get you all squared away in the office there, Johnny, okay, the gals can grab the bags, you follow me, all right, right this way, watch it, honey, here we come. ",,,0
38,TRAIN_0_38,Alexis," The ""Cheaters"" marathon we watched, it's like that. ",,,0
39,TRAIN_0_39,Moira," Children, keep an eye on these bags. Apparently in hell, there's no bellman!",,,0
40,TRAIN_0_40,Alexis," David, what are we... ",,,0
41,TRAIN_0_41,David, Shut up! Alexis,,,0
42,TRAIN_0_42,Alexis, You shut up! ,,,0
43,TRAIN_0_43,David, You shut up!,,,0
44,TRAIN_0_44,Alexis," Um, you shut up!",,,0
45,TRAIN_0_45,David, You shhhut up!,,,0
46,TRAIN_0_46,Johnny, The name is Rose.,,,0
47,TRAIN_0_47,Stevie, I don't see a reservation under that name.,,,0
48,TRAIN_0_48,Roland," It's okay, Stevie, I set aside two rooms for them.",,,0
49,TRAIN_0_49,Stevie," Well, there's nothing here.",,,0
50,TRAIN_0_50,Roland," Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals.",,,0
51,TRAIN_0_51,Moira," We'll need three rooms, minimum.",,,0
52,TRAIN_0_52,Roland," Ooh, no can do, honey. Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so...",,,0
53,TRAIN_0_53,Johnny, What about suites? Do you have a couple of suites?,,,0
54,TRAIN_0_54,Roland, This guy!,,,0
55,TRAIN_0_55,Stevie," Um...No, this is a motel, so we cater more to off road truckers and drunk teenagers.",,,0
56,TRAIN_1_56,Moira," Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please. ",SARCASTIC, Moira is implying that she is going to kill herself. She is being dramatic about her situation.,1
57,TRAIN_0_57,Roland," There you go, ma'am.",,,0
58,TRAIN_0_58,Johnny, It smells like a gym bag.,,,0
59,TRAIN_1_59,Moira, Does anyone else feel light headed? ,RHETORICAL, Moira is just telling everyone that she is light-headed.,1
60,TRAIN_0_60,Roland," Oh my God, this takes me back to high school. You know, I did the deed in just about every room in this place. Yep, if a forensic team came in here with one of those blue lights, this place would just light up! Okay, that's good.",,,0
61,TRAIN_0_61,Alexis, Ew! Ew! Ew! Ew! Ew!,,,0
62,TRAIN_0_62,David, Oh my God. Oh my God! ,,,0
63,TRAIN_0_63,Roland," Oh hey, chief, the other room's right through there. Here you go.",,,0
64,TRAIN_0_64,Moira," And there's the bed, I should probably pull off that cover, and... burn it. ",,,0
65,TRAIN_0_65,Roland, All right. ,,,0
66,TRAIN_0_66,Johnny," Good, Roland, thank you very much, appreciate everything, uh... ",,,0
67,TRAIN_0_67,T.V. announcer, ... Have a ball in the land down under! Ever wanna ride a kangaroo?,,,0
68,TRAIN_0_68,Alexis, Okay. Okay. Okay.,,,0
69,TRAIN_0_69,David, Oof!,,,0
